image,annotations__label,annotations__coordinates__x,annotations__coordinates__y,annotations__coordinates__width,annotations__coordinates__height
100228h.JPG,No issues,607,399,1104,653
,Broken,635,810,1109,606
,Broken,559,1,1222,1613
,No issues,554,0,1105,591
100228v.JPG,No issues,1504,1083,1104,653
,Broken,1471,719,1109,606
,Broken,1434,521,1222,1613
,No issues,1556,1544,1105,591
100228d.JPG,No issues,607,1083,1104,653
,Broken,635,719,1109,606
,Broken,559,521,1222,1613
,No issues,554,1544,1105,591
130064.jpg,No issues,2037,1922,514,265
,No issues,2101,366,531,271
,No issues,2065,1403,506,264
,Broken,2101,896,515,259
,Broken,1985,0,670,2848
,No issues,2023,2436,505,270
,No issues,2033,2186,503,246
,No issues,2044,1666,520,256
,No issues,2077,1143,515,268
,No issues,2105,615,513,270
,No issues,2115,83,531,271
,No issues,2010,2704,494,144
,No issues,2129,0,528,90
130064d.jpg,No issues,1736,660,514,265
,No issues,1655,2210,531,271
,No issues,1716,1180,506,264
,Broken,1671,1692,515,259
,Broken,1632,0,670,2848
,No issues,1759,141,505,270
,No issues,1751,415,503,246
,No issues,1723,925,520,256
,No issues,1695,1436,515,268
,No issues,1669,1962,513,270
,No issues,1641,2493,531,271
,No issues,1783,0,494,144
,No issues,1630,2757,528,90
150648 (2)h.JPG,No issues,2697,1402,536,282
,No issues,2696,3319,497,267
,No issues,2703,2005,514,287
,Flashover damage,2684,2945,529,282
,Flashover damage,2701,2390,515,290
,Flashover damage,2700,1597,558,297
,Flashover damage,2714,951,547,322
,Flashover damage,2698,409,582,440
,Flashover damage,2641,344,657,3549
,No issues,2695,3514,497,267
,No issues,2686,3132,497,267
,No issues,2714,1809,514,287
,Flashover damage,2696,2764,516,277
,No issues,2702,2206,514,287
150648 (2)v.JPG,No issues,2766,2315,536,282
,No issues,2806,413,497,267
,No issues,2782,1707,514,287
,Flashover damage,2786,772,529,282
,Flashover damage,2783,1319,515,290
,Flashover damage,2741,2105,558,297
,Flashover damage,2738,2726,547,322
,Flashover damage,2719,3150,582,440
,Flashover damage,2701,106,657,3549
,No issues,2807,218,497,267
,No issues,2816,600,497,267
,No issues,2771,1903,514,287
,Flashover damage,2787,958,516,277
,No issues,2783,1506,514,287
150915.JPG,No issues,3786,1394,514,699
,Broken,2808,1628,567,794
,Broken,93,553,5908,2851
